id,name,sector,subsector,country,assetType,sourceType,longitude,latitude,srid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year,gadm_id
1308948,Gamagōri City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,137.2603950034997,34.81644377000009,4326,co2e_100yr,73817.125466,4.3570584820362376e-05,t of CO2e_100yr per MJ,1694196343.02228,MJ,82840828.65828,m^2,20.45122399741886,2024,JPN.1_1
1310965,Ōbu City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,136.96753301117928,35.0137023930001,4326,co2e_100yr,73703.838754,3.4149760247532125e-05,t of CO2e_100yr per MJ,2158253475.8593597,MJ,105531750.98171999,m^2,20.451223975552235,2024,JPN.1_1
1310893,Kitanagoya City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,136.8743216591394,35.24366378850007,4326,co2e_100yr,68041.05564199999,3.6925611419368175e-05,t of CO2e_100yr per MJ,1842652105.8581898,MJ,90099843.84048001,m^2,20.45122418991723,2024,JPN.1_1
1308946,Chita City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,136.86835904974384,34.972778321000106,4326,co2e_100yr,67506.337334,3.2869283822849425e-05,t of CO2e_100yr per MJ,2053781813.3741102,MJ,100423418.39411998,m^2,20.45122388996832,2024,JPN.1_1
25450446,Hekinan power station,power,electricity-generation,JPN,coal,point-source,136.9593,34.8346,4326,co2e_100yr,14015000.0,0.9500406724511931,t of CO2e_100yr per MWh,14752000.0,MWh,4100.0,MW,3598.048780487805,2025,JPN.1_1
1566924,Nippon Nagoya steel plant,manufacturing,iron-and-steel,JPN,BF/BOF,point-source,136.86710914077,35.0289478646419,4326,co2e_100yr,6968676.589236138,1.9,t of CO2e_100yr per t of steel,3667724.520650599,t of steel,4995867.954188188,t of steel,0.7341516137502863,2025,JPN.1_1
447650,TAKETOYO,power,electricity-generation,JPN,"oil, coal",point-source,136.9236,34.8242,4326,co2e_100yr,5004500.0,0.9500170849310908,t of CO2e_100yr per MWh,5267800.0,MWh,1070.0,MW,4923.177570093458,2025,JPN.1_1
447649,SHIN NAGOYA,power,electricity-generation,JPN,"gas, oil",point-source,136.8794,35.0663,4326,co2e_100yr,3800000.0,0.3624847374847375,t of CO2e_100yr per MWh,10483200.0,MWh,3058.0,MW,3428.1229561805103,2025,JPN.1_1
447644,CHITA,power,electricity-generation,JPN,gas,point-source,136.8441,34.9869,4326,co2e_100yr,3366000.0,0.5254284911491992,t of CO2e_100yr per MWh,6406200.0,MWh,1868.8,MW,3427.9751712328766,2025,JPN.1_1
447646,CHITA DAINI,power,electricity-generation,JPN,gas,point-source,136.864,35.0065,4326,co2e_100yr,3167000.0,0.5406743491250533,t of CO2e_100yr per MWh,5857500.0,MWh,1708.8,MW,3427.8441011235955,2025,JPN.1_1
3640320,Nagoya City,transportation,road-transportation,JPN,,gadm-aggregation,136.92822467035063,35.14487050000007,4326,co2e_100yr,2859356.2826836444,0.00024014190287296344,t of CO2e_100yr per Vehicle*km ,11906944387.778345,Vehicle*km ,12484.712400722334,km,953721.9605546893,2025,JPN.1_1
451814,NISHI-NAGOYA,power,electricity-generation,JPN,"gas, other_fossil, oil",point-source,136.8303,35.0326,4326,co2e_100yr,2442000.0,0.4211288737130736,t of CO2e_100yr per MWh,5798700.0,MWh,2314.0,MW,2505.9204840103716,2025,JPN.1_1
25453250,Nagoya power station,power,electricity-generation,JPN,coal,point-source,136.9275,34.8444,4326,co2e_100yr,1211500.0,0.9501215590934045,t of CO2e_100yr per MWh,1275100.0,MWh,259.0,MW,4923.1660231660235,2025,JPN.1_1
3143982,Idemitsu Kosan Aichi Refinery,fossil-fuel-operations,oil-and-gas-refining,JPN,Medium Conversion,point-source,136.831448,34.974969,4326,co2e_100yr,1186577.28426,0.029996732560156274,t of CO2e_100yr per BBL,39556884.466680005,BBL,170000.0,BBL per day,232.68755568635297,2025,JPN.1_1
1310954,Nagoya City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,136.92822467035063,35.14487050000007,4326,co2e_100yr,1146196.5732359998,3.8355745382091933e-05,t of CO2e_100yr per MJ,29883308532.211502,MJ,1555111727.7729998,m^2,19.21618106179801,2025,JPN.1_1
3640396,Toyota City,transportation,road-transportation,JPN,,gadm-aggregation,137.28180617744727,35.13709068350008,4326,co2e_100yr,1092246.196069387,0.0002386451713883236,t of CO2e_100yr per Vehicle*km ,4576862752.8276415,Vehicle*km ,9458.819574675565,km,483872.50826534844,2025,JPN.1_1
2795951,Nagoya,transportation,international-shipping,JPN,,point-source,136.837375,35.029961,4326,co2e_100yr,1060962.8779061276,0.31785605297821456,t of CO2e_100yr per Nautical miles (nmi),3337872.1844848576,Nautical miles (nmi),4186.0,voyages and stays,797.3894372873525,2025,JPN.1_1
