"rank","country_code","name","gas","emissionsQuantity","emissionsPerCapita","percentage","emissionsPercentChange"
100,"HUN","Hungary","co2e_100yr",76555788.74852848,7.851755778145389,0.10066970234730396,0.23924945286710095
101,"IRL","Ireland","co2e_100yr",75026984.77911386,15.048513958015278,0.098659348289639,-1.9013487628780745
102,"SYR","Syrian Arab Republic","co2e_100yr",74376465.76269653,4.249924203571131,0.09780392563872613,1.517453731399812
103,"GAB","Gabon","co2e_100yr",70026456.08315906,31.46227035970211,0.09208372881487266,-13.821433908672113
104,"ZWE","Zimbabwe","co2e_100yr",69502444.8850775,4.676228638213557,0.09139466202841703,37.914004867581866
105,"NER","Niger","co2e_100yr",68306775.01765506,2.821820223911123,0.08982237426772995,7.630164169297402
106,"SLE","Sierra Leone","co2e_100yr",67486752.72447726,8.460182979468717,0.08874405737593317,-65.43287863054668
107,"SRB","Serbia","co2e_100yr",65777877.695354074,9.534233422516717,0.08649691260291459,-1.1210502458305407
108,"HKG","China, Hong Kong Special Administrative Region","co2e_100yr",65411677.81845176,8.742772837880157,0.08601536531289226,7.714027414476004
109,"BFA","Burkina Faso","co2e_100yr",63601648.95009562,3.0426638802821078,0.08363520477381163,51.23114191191894
110,"DNK","Denmark","co2e_100yr",58859945.11301622,10.093614696051965,0.07739993606714538,-0.580694015264682
111,"TUN","Tunisia","co2e_100yr",55700771.56304196,4.712968264397915,0.0732456707119276,1.3983363874647716
112,"BGR","Bulgaria","co2e_100yr",54244141.320275486,7.822905101917934,0.07133022401133826,-6.000705513578521
113,"BWA","Botswana","co2e_100yr",53676792.680260375,22.8254048499486,0.07058416914532309,113.27538147901286
114,"DOM","Dominican Republic","co2e_100yr",53103486.95969035,4.895276263478212,0.06983028080863084,3.5320679209443027
115,"CUB","Cuba","co2e_100yr",52511336.01311105,4.636101021974352,0.06905161128525064,-7.808925588325424
116,"TTO","Trinidad and Tobago","co2e_100yr",48901346.40214294,34.942237143463544,0.06430452963990603,-1.1649862247745741
117,"YEM","Yemen","co2e_100yr",47855913.59943492,1.6045049602224115,0.06292980134315462,0.3231159323261767
118,"CHE","Switzerland","co2e_100yr",47775219.50389524,5.5317411066621585,0.0628236898300743,-0.14443338171568493
119,"SVK","Slovakia","co2e_100yr",47462871.3700767,8.694701511895632,0.06241295676632735,18.871877184789867
120,"AFG","Afghanistan","co2e_100yr",46903638.1781234,1.2048712319418748,0.06167757359156051,1.4745988857739059
121,"LKA","Sri Lanka","co2e_100yr",44744825.160832986,2.0413716483796245,0.05883876718087888,-9.141188454160606
122,"URY","Uruguay","co2e_100yr",44316034.89961433,12.757489261422768,0.058274914483754985,7.219747931883166
123,"SOM","Somalia","co2e_100yr",40321980.415769875,2.5370556094249928,0.05302279334934548,0.8919312421231189
124,"NAM","Namibia","co2e_100yr",38704418.49308659,15.232466753362406,0.05089572392785789,31.29056995842544
125,"LTU","Lithuania","co2e_100yr",38329151.969409496,13.714035450263426,0.05040225413469079,-0.7812092277826724
126,"PAN","Panama","co2e_100yr",37840240.6117713,8.769936323753978,0.049759343106638716,-18.607750620789638
127,"JOR","Jordan","co2e_100yr",37127545.23620288,3.6388352248624325,0.04882215948544388,2.8226061281384887
128,"MWI","Malawi","co2e_100yr",35566461.03213847,1.8592025455438064,0.04676935740827551,57.722832418339955
129,"BIH","Bosnia and Herzegovina","co2e_100yr",35408305.55411316,10.792533426637332,0.046561385350803765,-4.48510438392801
130,"PRI","Puerto Rico","co2e_100yr",34534665.19117144,10.52392664390034,0.045412561509606986,2.2321538933220895
131,"LVA","Latvia","co2e_100yr",33891339.76331801,17.833332945697574,0.0445665983186693,-8.581956643057516
132,"HRV","Croatia","co2e_100yr",32397851.471832596,8.004054537866777,0.04260268384243174,2.152535809497246
133,"BEN","Benin","co2e_100yr",30303354.16234564,2.4996171936106,0.03984845161309775,24.267258590817633
134,"EST","Estonia","co2e_100yr",29689737.80996607,22.331859179397394,0.03904155540630141,-8.626708991707133
135,"TJK","Tajikistan","co2e_100yr",27875149.239174284,2.9226457901412406,0.03665539892759959,2.17485198444567
136,"LBN","Lebanon","co2e_100yr",27398693.07918647,4.014200557148748,0.036028866295755545,3.535536413137678
137,"KGZ","Kyrgyzstan","co2e_100yr",26061720.16586224,3.9608079402213163,0.03427076717051669,3.9871826462058815
138,"CRI","Costa Rica","co2e_100yr",24254984.53683036,4.761374507290249,0.03189493719125331,-14.231372703319579
139,"MRT","Mauritania","co2e_100yr",23934192.39161589,5.147514526140813,0.031473100380451535,5.180233928596316
140,"GEO","Georgia","co2e_100yr",23048473.757965125,6.191305959940303,0.030308393796263974,-1.327319353762045
141,"SUR","Suriname","co2e_100yr",21164048.68516537,36.077091824144816,0.027830403375478267,30.341822320279654
142,"BRN","Brunei Darussalam","co2e_100yr",20803370.74517063,47.55240945401451,0.027356117348829402,1.5699148327436325
143,"GNQ","Equatorial Guinea","co2e_100yr",20289208.208719626,14.461457683952164,0.026680001403205988,-33.38041565271415
144,"BLZ","Belize","co2e_100yr",19772177.176145826,49.726189452131116,0.026000113428640198,9.605546283298938
145,"TGO","Togo","co2e_100yr",18139319.7440477,2.191073317590316,0.023852930644006412,-1.6347205029398708
146,"SVN","Slovenia","co2e_100yr",17833338.357781064,8.482295088553263,0.023450569756830915,0.9745996922708321
147,"MDA","Republic of Moldova","co2e_100yr",17032216.52565463,6.499618020890949,0.022397106684965622,4.439191382416365
148,"RWA","Rwanda","co2e_100yr",15461639.596805723,1.1937453755421739,0.02033182181852499,3.474340742266918
149,"SLV","El Salvador","co2e_100yr",14803539.047733013,2.282312720147435,0.019466429567034135,-5.540141457812688
150,"MKD","The former Yugoslav Republic of Macedonia","co2e_100yr",13410620.319445003,6.470648844067955,0.017634762542723913,-2.0232514656088454
151,"ARM","Armenia","co2e_100yr",13348226.847884607,4.504614501549526,0.01755271607291309,1.1091302040138047
152,"BDI","Burundi","co2e_100yr",13291553.69971263,1.11780325444667,0.017478191741692385,2.4667832335704247
153,"ALB","Albania","co2e_100yr",12144958.16587543,4.279635091886647,0.01597043598617014,-3.237104377151058
154,"HTI","Haiti","co2e_100yr",11899475.338930834,1.0435817496806046,0.015647629787920864,1.261782751350492
155,"JAM","Jamaica","co2e_100yr",11644478.87565897,3.932403160672105,0.015312313302037394,-1.915334485142155
156,"CYP","Cyprus","co2e_100yr",11517606.300908089,9.539488438758655,0.0151454777884205,-11.478163495527577
157,"XKX","Kosovo","co2e_100yr",11261049.498301692,6.2906217014611165,0.014808109479952012,-0.5225859470281063
158,"ERI","Eritrea","co2e_100yr",10514704.031951275,0,0.013826676499193905,1.2136300508620113
159,"ISL","Iceland","co2e_100yr",9831422.623491228,26.82787245503974,0.012928171799110832,-3.8609567390922277
160,"GNB","Guinea-Bissau","co2e_100yr",9713589.209126405,4.935771890584444,0.012773222644453977,-61.65983217431783
161,"MUS","Mauritius","co2e_100yr",8934615.596507221,7.058807967281765,0.011748884145684549,-0.21880302556508568
162,"BHS","Bahamas","co2e_100yr",8166225.393206005,20.766095169475765,0.010738462669824504,-7.795179398899507
163,"NCL","New Caledonia","co2e_100yr",7363928.916481952,27.07725002383421,0.009683454958109777,5.687226664530893
164,"FLK","Falkland Islands (Malvinas)","co2e_100yr",7142310.8196638515,0,0.009392030518414706,6.290765207582381
165,"REU","Réunion","co2e_100yr",6983138.5893316455,0,0.00918272144706368,1.8170950642395638
166,"SWZ","Eswatini","co2e_100yr",6950755.348694996,5.9911834436295175,0.009140137976248155,0.6558620626723447
167,"LUX","Luxembourg","co2e_100yr",6681601.299365148,10.59866739321808,0.008786204479192672,0.8973843003476364
168,"PSE","State of Palestine","co2e_100yr",6103318.493614199,1.2706593142324942,0.008025771350892745,3.2769980727422015
169,"BTN","Bhutan","co2e_100yr",6078902.220414481,7.878185176506432,0.007993664321553396,-26.507007745757434
170,"LSO","Lesotho","co2e_100yr",5962467.7722004065,2.7832709560781863,0.007840554786189766,-0.23467734208925972
171,"SLB","Solomon Islands","co2e_100yr",5927786.347538531,8.63004252216337,0.0077949492381996595,9.897280200952137
172,"GMB","Gambia","co2e_100yr",5046731.560765779,2.0883050191362056,0.00663637554199716,-47.76292874358094
173,"FJI","Fiji","co2e_100yr",4819081.764642497,5.375775580674863,0.006337019509098919,5.800205338060877
174,"MLT","Malta","co2e_100yr",4356911.870891581,8.454572723781137,0.005729273100912588,3.8495713233144055
175,"GUF","French Guiana","co2e_100yr",4232644.105454517,0,0.005565862872079248,170.3174622264097
176,"MTQ","Martinique","co2e_100yr",3666596.995814162,0,0.004821519498788073,-3.0799748030208463
177,"MNE","Montenegro","co2e_100yr",3629048.4892760613,5.841000230604664,0.0047721437815684,-1.3221602635527658
178,"DJI","Djibouti","co2e_100yr",3376125.675062529,3.417124332807554,0.004439554112779857,3.7846180251923593
179,"GLP","Guadeloupe","co2e_100yr",3172623.345942496,0,0.004171951633145153,-3.1186593021585
180,"ZNC","Turkish Republic of Northern Cyprus","co2e_100yr",2978509.0975055387,0,0.003916694337374757,0.9528082337881337
181,"MAC","China, Macao Special Administrative Region","co2e_100yr",2918202.8597251484,4.494092265285702,0.003837392548362043,35.30386073013803
182,"TLS","Timor-Leste","co2e_100yr",2860223.618053639,2.169396619687206,0.0037611507239773984,15.130239333893417
183,"CUW","Curaçao","co2e_100yr",2858867.8335889373,18.450617524630598,0.003759367887947103,1.6228317490309463
184,"MDV","Maldives","co2e_100yr",2766867.531954841,5.118691113650449,0.003638388885147074,-2.859710604569512
185,"PYF","French Polynesia","co2e_100yr",2693648.7850785907,9.589214767602423,0.0035421073423040263,0.015095025272990838
186,"BRB","Barbados","co2e_100yr",2502714.533498135,8.709001720765613,0.003291031694221448,2.723904924469286
187,"GUM","Guam","co2e_100yr",2440330.8739659274,14.458392574879742,0.003208998127079034,-4.337145912501894
188,"CPV","Cabo Verde","co2e_100yr",1832090.0694962158,3.2951971436365817,0.0024091706843420205,21.084370770451965
189,"ABW","Aruba","co2e_100yr",1729215.4100608812,16.196311654092888,0.0022738920657851126,-0.12677019638961404
190,"FRO","Faroe Islands","co2e_100yr",1616005.4679509366,33.070816902710256,0.002125022707095595,5.649414918499
191,"SYC","Seychelles","co2e_100yr",1567573.9574314645,15.920598377358417,0.0020613360045231613,1.786928470753482
192,"ESH","Western Sahara","co2e_100yr",1505263.380176098,0,0.0019793985394675616,12.425704602474797
